,airpods name,price,feture,discount
0, Airdopes 131 ,"<span class=""price price--highlight product-card-price"" data-price=""89900"">
<span class=""visually-hidden"">Sale price</span>₹899</span>","<span class=""feature feature-2""> IWP Technology</span>","<span class=""price price--compare line-through"" data-compare-price=""299000"">
<span class=""visually-hidden"">Regular price</span>₹2,990</span>"
1, Airdopes Atom 83 ,"<span class=""price price--highlight product-card-price"" data-price=""159900"">
<span class=""visually-hidden"">Sale price</span>₹1,599</span>","<span class=""feature feature-2""> ASAP™ Charge</span>","<span class=""price price--compare line-through"" data-compare-price=""349000"">
<span class=""visually-hidden"">Regular price</span>₹3,490</span>"
2, Airdopes 161 ,"<span class=""price price--highlight product-card-price"" data-price=""109900"">
<span class=""visually-hidden"">Sale price</span>₹1,099</span>","<span class=""feature feature-2""> IWP Technology</span>","<span class=""price price--compare line-through"" data-compare-price=""249000"">
<span class=""visually-hidden"">Regular price</span>₹2,490</span>"
3, Nirvana Ion ,"<span class=""price price--highlight product-card-price"" data-price=""199900"">
<span class=""visually-hidden"">Sale price</span>₹1,999</span>","<span class=""feature feature-2""> BEAST™ Mode </span>","<span class=""price price--compare line-through"" data-compare-price=""799000"">
<span class=""visually-hidden"">Regular price</span>₹7,990</span>"
4, Airdopes 170 ,"<span class=""price price--highlight product-card-price"" data-price=""159900"">
<span class=""visually-hidden"">Sale price</span>₹1,599</span>","<span class=""feature feature-2""> BEAST™ Mode </span>","<span class=""price price--compare line-through"" data-compare-price=""349000"">
<span class=""visually-hidden"">Regular price</span>₹3,490</span>"
5, Airdopes Alpha ,"<span class=""price price--highlight product-card-price"" data-price=""99900"">
<span class=""visually-hidden"">Sale price</span>₹999</span>","<span class=""feature feature-2"">  ASAP™ Charge </span>","<span class=""price price--compare line-through"" data-compare-price=""349000"">
<span class=""visually-hidden"">Regular price</span>₹3,490</span>"
6, Airdopes Hype ,"<span class=""price price--highlight product-card-price"" data-price=""169900"">
<span class=""visually-hidden"">Sale price</span>₹1,699</span>","<span class=""feature feature-2""> BEAST™ Mode </span>","<span class=""price price--compare line-through"" data-compare-price=""549000"">
<span class=""visually-hidden"">Regular price</span>₹5,490</span>"
7, Airdopes 141 ,"<span class=""price price--highlight product-card-price"" data-price=""129900"">
<span class=""visually-hidden"">Sale price</span>₹1,299</span>","<span class=""feature feature-2""> ASAP™ Charge</span>","<span class=""price price--compare line-through"" data-compare-price=""449000"">
<span class=""visually-hidden"">Regular price</span>₹4,490</span>"
8, Airdopes Ultra Plus ,"<span class=""price price--highlight product-card-price"" data-price=""159900"">
<span class=""visually-hidden"">Sale price</span>₹1,599</span>","<span class=""feature feature-2""> IWP™ Tech </span>","<span class=""price price--compare line-through"" data-compare-price=""499000"">
<span class=""visually-hidden"">Regular price</span>₹4,990</span>"
9, Immortal 131 ,"<span class=""price price--highlight product-card-price"" data-price=""119900"">
<span class=""visually-hidden"">Sale price</span>₹1,199</span>","<span class=""feature feature-2""> BEAST™ Mode </span>","<span class=""price price--compare line-through"" data-compare-price=""349000"">
<span class=""visually-hidden"">Regular price</span>₹3,490</span>"
10, Airdopes Ace ,"<span class=""price price--highlight product-card-price"" data-price=""129900"">
<span class=""visually-hidden"">Sale price</span>₹1,299</span>","<span class=""feature feature-2""> ENx™ Technology </span>","<span class=""price price--compare line-through"" data-compare-price=""349000"">
<span class=""visually-hidden"">Regular price</span>₹3,490</span>"
11, Airdopes 163 ,"<span class=""price price--highlight product-card-price"" data-price=""139900"">
<span class=""visually-hidden"">Sale price</span>₹1,399</span>","<span class=""feature feature-2""> IWP Technology</span>","<span class=""price price--compare line-through"" data-compare-price=""249000"">
<span class=""visually-hidden"">Regular price</span>₹2,490</span>"
12, Airdopes Zing ,"<span class=""price price--highlight product-card-price"" data-price=""139900"">
<span class=""visually-hidden"">Sale price</span>₹1,399</span>","<span class=""feature feature-2""> Bluetooth v5.3 </span>","<span class=""price price--compare line-through"" data-compare-price=""349000"">
<span class=""visually-hidden"">Regular price</span>₹3,490</span>"
13,TRebel Airdopes 141 ,"<span class=""price price--highlight product-card-price"" data-price=""119900"">
<span class=""visually-hidden"">Sale price</span>₹1,199</span>","<span class=""feature feature-2""> ASAP™ Charge</span>","<span class=""price price--compare line-through"" data-compare-price=""449000"">
<span class=""visually-hidden"">Regular price</span>₹4,490</span>"
14, Airdopes 138 PRO ,"<span class=""price price--highlight product-card-price"" data-price=""159900"">
<span class=""visually-hidden"">Sale price</span>₹1,599</span>","<span class=""feature feature-2""> Clear Calling </span>","<span class=""price price--compare line-through"" data-compare-price=""299000"">
<span class=""visually-hidden"">Regular price</span>₹2,990</span>"
15, Immortal 111 ,"<span class=""price price--highlight product-card-price"" data-price=""144900"">
<span class=""visually-hidden"">Sale price</span>₹1,449</span>","<span class=""feature feature-2""> 40 Hours Playback </span>","<span class=""price price--compare line-through"" data-compare-price=""349900"">
<span class=""visually-hidden"">Regular price</span>₹3,499</span>"
16, Airdopes Supreme ,"<span class=""price price--highlight product-card-price"" data-price=""149900"">
<span class=""visually-hidden"">Sale price</span>₹1,499</span>","<span class=""feature feature-2""> In-ear Detection </span>","<span class=""price price--compare line-through"" data-compare-price=""599000"">
<span class=""visually-hidden"">Regular price</span>₹5,990</span>"
17, Airdopes Bliss ANC ,"<span class=""price price--highlight product-card-price"" data-price=""199900"">
<span class=""visually-hidden"">Sale price</span>₹1,999</span>","<span class=""feature feature-2""> ENx™ Technology </span>","<span class=""price price--compare line-through"" data-compare-price=""599000"">
<span class=""visually-hidden"">Regular price</span>₹5,990</span>"
